title,author,published_date,published_date_precision,link,clean_url,excerpt,summary,rights,rank,topic,country,language,authors,media,is_opinion,twitter_account,_score,_id
Πόλεμος στην Ουκρανία: Εγγραφα εργαστηρίων ότι αναπτύσσουν βιολογικά όπλα με λεφτά των ΗΠΑ αποκαλύπτει η Μόσχα,Newsroom,2022-03-06 23:01:42,full,https://www.reader.gr/diethni/405416/polemos-stin-oykrania-eggrafa-ergastirion-oti-anaptyssoyn-biologika-opla-me-lefta,reader.gr,O εκπρόσωπος του ρωσικού υπουργείου Άμυνας Ιγκόρ Κονασένκοφ υποστήριξε ότι ότι ο ρωσικός στρατός ανακάλυψε ότι καταστράφηκαν εσπευσμένα ίχνη «προγράμματος κατασκευής βιολογικών όπλων από το καθεστώς…,"Ανάγνωση: Οι ένοπλες δυνάμεις της Ρωσίας σκοπεύουν να εντείνουν τις επιθέσεις τους εναντίον της βιομηχανίας όπλων της Ουκρανίας, διεμήνυσε χθες εκπρόσωπος του ρωσικού υπουργείου Άμυνας. «Στο πλαίσιο του καθήκοντος να αποστρατιωτικοποιηθεί η Ουκρανία, οι ρωσικές ένοπλες δυνάμεις θα βάλουν στο στόχαστρο εταιρείες της ουκρανικής βιομηχανίας όπλων», προχωρώντας σε πλήγματα «υψηλής ακρίβειας», δήλωσε ο εκπρόσωπος του ρωσικού υπουργείου Άμυνας Ιγκόρ Κονασένκοφ. Είπε ακόμη ότι ο ρωσικός στρατός ανακάλυψε ότι καταστράφηκαν εσπευσμένα ίχνη «προγράμματος κατασκευής βιολογικών όπλων από το καθεστώς του Κιέβου».",reader.gr,206930,news,GR,el,['Newsroom'],https://www.reader.gr/sites/default/files/styles/reader_watermark/public/imported/articles/kremlino.jpg?itok=kCnbbrEO,False,,27.853418,a76df6cf408780c46e58222f5e40c5f5
Ρωσία: «Περισσότερα από 30 βιολογικά εργαστήρια στην Ουκρανία»,Χρήστος Γιαννούλης,2022-03-07 16:54:04,full,https://www.newsbomb.gr/kosmos/story/1291098/rosia-perissotera-apo-30-viologika-ergastiria-stin-oykrania-oi-ereynes-gia-astheneies-kai-ioys,newsbomb.gr,"Πόλεμος στην Ουκρανία: Σύμφωνα με τον επικεφαλής ρωσικής υπηρεσίας, στο έδαφος της χώρας εντοπίστηκαν περισσότερα από 30 βιολογικά εργαστήρια τα οποία δημιουργήθηκαν με τη συνεργασία των ΗΠΑ.","Οι Ρώσοι υποστηρίζουν ότι έχουν εντοπίσει πάνω από 30 βιολογικά εργαστήρια. (Φωτογραφία αρχείου) AP Photo/Jerome Delay Πόλεμος στην Ουκρανία: Σύμφωνα με τον επικεφαλής ρωσικής υπηρεσίας, στο έδαφος της χώρας εντοπίστηκαν περισσότερα από 30 βιολογικά εργαστήρια τα οποία δημιουργήθηκαν με τη συνεργασία των ΗΠΑ. Ένα δίκτυο περισσότερων από 30 βιολογικών εργαστηρίων δημιουργήθηκε στην ουκρανική επικράτεια κατόπιν αιτήματος της Υπηρεσίας Μείωσης Απειλών του Υπουργείου Άμυνας των ΗΠΑ, δήλωσε τη Δευτέρα ο επικεφαλής της ρωσικής δύναμης ακτινοβολίας, χημικής και βιολογικής προστασίας, Ιγκόρ Κιρίλοφ, όπως αναφέρει το πρακτορείο TASS.",newsbomb.gr,32083,news,GR,el,['Χρήστος Γιαννούλης'],https://nb.bbend.net/media/news/2022/03/07/1291098/facebook/facebookbiologiko-ergastirio.jpg,False,@newsbombgr,26.582775,90068b072fdd6b38c8c8a9708e47633c
Κίνα: Ζητά εξηγήσεις από τις ΗΠΑ για τα βιολογικά εργαστήρια στην Ουκρανία,,2022-03-08 15:45:00,timezone unknown,https://www.bankingnews.gr/index.php?id=614100,bankingnews.gr,Κίνα: Ζητά εξηγήσεις από τις ΗΠΑ για τα βιολογικά εργαστήρια στην Ουκρανία,"Εξηγήσεις από τις ΗΠΑ για τα βιολογικά εργαστήρια στην Ουκρανία ζητά η Κίνα Σχετικά Άρθρα Εξηγήσεις από τις ΗΠΑ για τα βιολογικά εργαστήρια στην Ουκρανία ζητά η Κίνα, εκφράζοντας ανησυχία για την ασφάλειά τους. Συγκεκριμένα, το κινεζικό υπουργείο Εξωτερικών κάλεσε τις Ηνωμένες Πολιτείες να δημοσιοποιήσουν όλες τις λεπτομέρειες των βιολογικών τους εργαστηρίων στην Ουκρανία και προέτρεψε όλα τα εμπλεκόμενα μέρη να διασφαλίσουν την ασφάλειά τους, όπως μεταδίδει το κινεζικό πρακτορείο ειδήσεων.Υπήρξαν αναφορές ρωσικών μέσων ότι σε αυτά τα βιολογικά εργαστήρια αποθηκεύονται μεγάλες ποσότητες επικίνδυνων ιών και ότι η Ρωσία τα ανακάλυψε κατά τη διάρκεια στρατιωτικών επιχειρήσεων.",bankingnews.gr,298862,news,GR,el,[],https://www.bankingnews.gr/media/k2/items/cache/4dc68c1595467b9541a68c95dc06882d_XL.jpg,False,@bankingnewsgr,27.810312,d81e6057efb5fed5dff7c47f1c9051a5
Η Κίνα ζητά περισσότερα στοιχεία από τις ΗΠΑ για τα βιολογικά εργαστήρια στην Ουκρανία,,2022-03-08 17:32:00,timezone unknown,https://www.madata.gr/epikairotita/world/835494-h-kina-zhta-perissotera-stoicheia-apo-tis-hpa-gia-ta-viologika-ergasthria-sthn-oykrania.html,madata.gr,Το κινεζικό υπουργείο Εξωτερικών προέτρεψε την Τρίτη τις Ηνωμένες Πολιτείες να αποκαλύψουν περισσότερες πληροφορίες σχετικά με τα βιολογικά εργαστήρια που διαχειρίζονται στην Ουκρανία και να,"Το κινεζικό υπουργείο Εξωτερικών προέτρεψε την Τρίτη τις Ηνωμένες Πολιτείες να αποκαλύψουν περισσότερες πληροφορίες σχετικά με τα βιολογικά εργαστήρια που διαχειρίζονται στην Ουκρανία και να εγγυηθούν την ασφάλειά τους.Ο εκπρόσωπος Τύπου Zhao Lijian έκανε τις παρατηρήσεις κατά την τακτική ενημέρωση Τύπου στο Πεκίνο.  Το ρωσικό υπουργείο Άμυνας ανακοίνωσε την Κυριακή ότι υπάρχουν στοιχεία για στρατιωτικό βιολογικό πρόγραμμα που χρηματοδοτείται από τις ΗΠΑ στην Ουκρανία. Επικαλούμενος στοιχεία που δόθηκαν στη δημοσιότητα από τις ΗΠΑ, ο Zhao είπε ότι οι Ηνωμένες Πολιτείες διαθέτουν 26 βιολογικά εργαστήρια στην Ουκρανία, επί των οποίων το Πεντάγωνο έχει τον απόλυτο έλεγχο.",Madata.GR,237278,news,GR,el,[],https://www.madata.gr/files/ergastirio20201.jpg,False,@madata,27.334433,7bdb0b56f009d6928afd7c8cfad9889a
"TASS: Η Ουκρανία αναπτύσσει βιολογικά όπλα σε εργαστήρια κοντά στα ρωσικά σύνορα, λέει η Ζαχάροβα",Αρετή Γεωργίου,2022-03-08 20:36:26,full,https://www.skai.gr/news/world/tass-i-oukrania-ftiaxnei-viologika-opla-konta-sta-rosika-synora-symfona-me-zaxarova,skai.gr,"«Λήφθηκαν έγγραφα από υπαλλήλους βιολογικών εργαστηρίων της Ουκρανίας σχετικά με την επείγουσα απόρριψη ιδιαίτερα επικίνδυνων παθογόνων μικροοργανισμών της πανώλης, του άνθρακα, της τουλαραιμίας, της…","Κατά τη διάρκεια «ειδικής επιχείρησης» στην Ουκρανία, η Ρωσία απέκτησε έγγραφα που αποδεικνύουν ότι τα ουκρανικά βιολογικά εργαστήρια που βρίσκονται κοντά στα ρωσικά σύνορα εργάζονταν για την ανάπτυξη συστατικών βιολογικών όπλων, δήλωσε η εκπρόσωπος του ρωσικού υπουργείου Εξωτερικών, Μαρία Ζαχάροβα μιλώντας στο ρωσικό πρακτορείο Tass.  «Επιβεβαιώνουμε τα γεγονότα, που ανακαλύφθηκαν κατά τη διάρκεια της ειδικής στρατιωτικής επιχείρησης στην Ουκρανία, της έκτακτης εκκαθάρισης από το καθεστώς του Κιέβου από ίχνη του στρατιωτικού βιολογικού προγράμματος, που πραγματοποιήθηκε από το Κίεβο με χρηματοδότηση από το Υπουργείο Άμυνας των ΗΠΑ», σημειώθηκε στην ανακοίνωση.",skai.gr,26162,world,GR,el,['Αρετή Γεωργίου'],https://www.skai.gr/sites/default/files/styles/large/public/2020-01/ap-zaxarova.jpg?itok=xHuR-RDG,False,@skaigr,26.805536,b499e4efb9a2e0a1d2ab9d0cdf4936c2
"Η Ουκρανία αναπτύσσει βιολογικά όπλα σε εργαστήρια κοντά στα ρωσικά σύνορα, λέει η Ζαχάροβα",,2022-03-08 20:38:55,full,https://www.sdna.gr/politiko-deltio/diethni/941972_i-oykrania-anaptyssei-biologika-opla-se-ergastiria-konta-sta-rosika,sdna.gr,"Κατά τη διάρκεια «ειδικής επιχείρησης» στην Ουκρανία, η Ρωσία απέκτησε έγγραφα που αποδεικνύουν ότι τα ουκρανικά βιολογικά εργαστήρια που βρίσκονται...","Κατά τη διάρκεια «ειδικής επιχείρησης» στην Ουκρανία, η Ρωσία απέκτησε έγγραφα που αποδεικνύουν ότι τα ουκρανικά βιολογικά εργαστήρια που βρίσκονται κοντά στα ρωσικά σύνορα εργάζονταν για την ανάπτυξη συστατικών βιολογικών όπλων, δήλωσε η εκπρόσωπος του ρωσικού υπουργείου Εξωτερικών, Μαρία Ζαχάροβα μιλώντας στο ρωσικό πρακτορείο Tass.

«Επιβεβαιώνουμε τα γεγονότα, που ανακαλύφθηκαν κατά τη διάρκεια της ειδικής στρατιωτικής επιχείρησης στην Ουκρανία, της έκτακτης εκκαθάρισης από το καθεστώς του Κιέβου από ίχνη του στρατιωτικού βιολογικού προγράμματος, που πραγματοποιήθηκε από το Κίεβο με χρηματοδότηση από το Υπουργείο Άμυνας των ΗΠΑ», σημειώθηκε στην ανακοίνωση.",sdna.gr,99564,sport,GR,el,[],https://www.sdna.gr/sites/default/files/styles/og_image/public/2022-03/zaxarova.jpg?itok=rhUwplYE,False,@sdna_gr,26.7919,eddfbacd98cbfef1d2139c584038b3a5
"Η Ουκρανία έχει αναπτύξει βιολογικά όπλα με χρηματοδότηση από τις ΗΠΑ, καταγγέλλει το Κρεμλίνο",Μυρτώ Αρετάκη,2022-03-08 20:42:00,full,https://www.dikaiologitika.gr/eidhseis/kosmos/376969/i-oukrania-exei-anaptyksei-viologika-opla-me-xrimatodotisi-apo-tis-ipa-kataggellei-to-kremlino,dikaiologitika.gr,"Η εκπρόσωπος του ρωσικού ΥΠΕΞ, Μαρία Ζαχάροβα, ισχυρίστηκε πως επιβεβαιώνεται η ύπαρξη βιολογικών εργαστηρίων στην Ουκρανία, τα οποία μάλιστα χρηματοδοτήθηκαν από το υπουργείο Άμυνας των ΗΠΑ Κατά τη…","Κατά τη διάρκεια της ειδικής επιχείρησης στην Ουκρανία, η Ρωσία έλαβε έγγραφα που αποδεικνύουν ότι τα ουκρανικά βιολογικά εργαστήρια που βρίσκονται κοντά στα ρωσικά σύνορα εργάζονταν για την ανάπτυξη συστατικών βιολογικών όπλων, ανέφερε η εκπρόσωπος του ρωσικού υπουργείου Εξωτερικών Μαρία Ζαχάροβα σε δήλωσή της την Τρίτη. «Επιβεβαιώνουμε τα γεγονότα, που ανακαλύφθηκαν κατά τη διάρκεια της ειδικής στρατιωτικής επιχείρησης στην Ουκρανία, για τον επείγοντα καθαρισμό από το καθεστώς του Κιέβου των ιχνών του στρατιωτικού βιολογικού προγράμματος, που πραγματοποιήθηκε από το Κίεβο με χρηματοδότηση από το υπουργείο Άμυνας των ΗΠΑ», σημειώνεται στην ανακοίνωση που δημοσιεύει το Tass.",dikaiologitika.gr,70432,news,GR,el,['Μυρτώ Αρετάκη'],https://www.dikaiologitika.gr/media/k2/items/cache/aa8b22e419d9b9e2f246b8a8de73a0bd_L.jpg,False,@dikaiologitika,26.969942,572b9da98ebddcd8d770e0d089aea9b6
Εισβολή στην Ουκρανία: Οι ΗΠΑ φοβούνται ότι η Ρωσία θα καταλάβει εργαστήρια έρευνας για βιολογικά όπλα,NEWSROOM IEFIMERIDA.GR 09/03/2022 01:34,2022-03-08 23:34:08,full,https://www.iefimerida.gr/kosmos/eisboli-stin-oykrania-ipa-rosia-biologika-opla,iefimerida.gr,Η κυβέρνηση των ΗΠΑ εξέφρασε χθες Τρίτη την «ανησυχία» ότι οι ρωσικές δυνάμεις ίσως προσπαθήσουν να «καταλάβουν» δομές έρευνας για «βιολογικά» όπλα στην Ουκρανία.,"Η κυβέρνηση των ΗΠΑ εξέφρασε χθες Τρίτη την «ανησυχία» ότι οι ρωσικές δυνάμεις ίσως προσπαθήσουν να «καταλάβουν» δομές έρευνας για «βιολογικά» όπλα στην Ουκρανία. «Η Ουκρανία διαθέτει εγκαταστάσεις βιολογικής έρευνας και είμαστε πράγματι ανήσυχοι αυτό το διάστημα για την πιθανότητα οι ρωσικές δυνάμεις να αποπειραθούν να τις καταλάβουν», είπε η τρίτη τη τάξει της αμερικανικής διπλωματίας, Βικτόρια Νούλαντ, κατά τη διάρκεια κοινοβουλευτικής ακρόασης.
ΤΟ ΑΡΘΡΟ ΣΥΝΕΧΙΖΕΙ ΜΕΤΑ ΤΗΝ ΔΙΑΦΗΜΙΣΗ
«Συνεργαζόμαστε κατά συνέπεια με τους Ουκρανούς για τους τρόπους να αποφευχθεί το ενδεχόμενο τα υλικά που συνδέονται με αυτή την έρευνα να πέσουν στα χέρια των ρωσικών δυνάμεων», πρόσθεσε.",iefimerida.gr,26696,news,GR,el,['NEWSROOM IEFIMERIDA.GR'],https://www.iefimerida.gr/sites/default/files/styles/facebook/public/2021-10/victoria-nuland-noulant-ipa.jpg?itok=_k9TazBJ,False,@iefimerida,26.519566,10e82f11b68216f3359e7e987da63e81
Πόλεμος στην Ουκρανία: Βιολογικά όπλα μπορεί να χρησιμοποιήσει η Ρωσία στις μάχες,Ανδρεας Μορφοπουλος,2022-03-09 00:06:26,full,https://www.newsit.gr/kosmos/polemos-stin-oukrania-viologika-opla-mporei-na-xrisimopoiisei-i-rosia-stis-maxes-anisyxes-oi-ipa/3483197,newsit.gr,Οι ΗΠΑ «ανησυχούν» ότι η Ρωσία θα καταλάβει εργαστήρια έρευνας για «βιολογικά» όπλα στον πόλεμο στην Ουκρανία. «Συνεργαζόμαστε με το Κίεβο για να μην,"Οι ΗΠΑ «ανησυχούν» ότι η Ρωσία θα καταλάβει εργαστήρια έρευνας για «βιολογικά» όπλα στον πόλεμο στην Ουκρανία. «Συνεργαζόμαστε με το Κίεβο για να μην πέσουν αυτές οι εγκαταστάσεις στα χέρια των Ρώσων», δηλώνει η Αμερικανίδα υφυπουργός Εξωτερικών, αρμόδια για ευρωπαϊκές υποθέσεις, Βικτόρια Νιούλαντ.
«Η Ουκρανία διαθέτει εγκαταστάσεις βιολογικής έρευνας, και είμαστε πράγματι ανήσυχοι αυτό το διάστημα (σ.σ. που μαίνεται ο πόλεμος στην Ουκρανία) για την πιθανότητα οι ρωσικές δυνάμεις να αποπειραθούν να τις καταλάβουν», είπε η τρίτη τη τάξει της αμερικανικής διπλωματίας, η Βικτόρια Νούλαντ, κατά τη διάρκεια κοινοβουλευτικής ακρόασης.",newsit.gr,45374,entertainment,GR,el,['Ανδρεας Μορφοπουλος'],https://www.newsit.gr/wp-content/uploads/2022/03/Ukraine_Kievo_spiti_5_APEMPE_09_03_2022.jpg,False,@NewsItFeed,26.818314,42d31c1a4efa143711e8bfb5673a5f2c
Οι ΗΠΑ ανησυχούν ότι η Ρωσία θα καταλάβει εργαστήρια έρευνας για βιολογικά όπλα,Parapolitika Newsroom,2022-03-09 04:53:00,full,https://www.parapolitika.gr/diethni/article/1175021/oi-ipa-anisuhoun-oti-i-rosia-tha-katalavei-ergastiria-ereunas-gia-viologika-opla,parapolitika.gr,Φόβος ότι οι Ρώσοι θα επιχειρήσουν προβοκάτσια κατηγορώντας τους Ουκρανούς,"Η κυβέρνηση των Ηνωμένων Πολιτειών της Αμερικής εξέφρασε χθες Τρίτη την ανησυχία ότι οι ρωσικές δυνάμεις ίσως προσπαθήσουν να καταλάβουν δομές έρευνας για βιολογικά όπλα στην Ουκρανία . «Η Ουκρανία διαθέτει εγκαταστάσεις βιολογικής έρευνας, και είμαστε πράγματι ανήσυχοι αυτό το διάστημα για την πιθανότητα οι ρωσικές δυνάμεις να αποπειραθούν να τις καταλάβουν», είπε η τρίτη τη τάξει της αμερικανικής διπλωματίας, η Βικτόρια Νούλαντ, κατά τη διάρκεια κοινοβουλευτικής ακρόασης. «Συνεργαζόμαστε κατά συνέπεια με τους Ουκρανούς για τους τρόπους να αποφευχθεί το ενδεχόμενο τα υλικά που συνδέονται με αυτή την έρευνα να πέσουν στα χέρια των ρωσικών δυνάμεων», πρόσθεσε.",parapolitika.gr,106597,news,GR,el,['Parapolitika Newsroom'],https://s.parapolitika.gr/images/640x360/files/2022-03-09/polemos_34642.jpg,False,,26.572279,292994d4f4b9f6bf8530fbaa00b0b38e
